order_id,customer_id,customer_name,customer_email,product_id,product_name,category,quantity,unit_price,discount_pct,status,created_at,updated_at,city,state
ORD-01550,CLI-0286,Jefferson Campos,jefferson.campos82@email.com,PROD-004,Fone Bluetooth,Eletrônicos,6,349.00,10,processing,2024-01-01 07:00:00,2024-01-01 08:00:00,Boa Vista,RR
ORD-01202,CLI-0157,Leandro Ribeiro,leandro.ribeiro63@email.com,PROD-001,Tênis Runner Pro,Calçados,4,289.90,10,delivered,2024-01-01 08:16:00,2024-01-06 08:16:00,Natal,RN
ORD-00542,CLI-0313,Flavia Resende,flavia.resende48@email.com,PROD-015,Câmera de Ação 4K,Eletrônicos,6,899.00,5,cancelled,2024-01-01 10:01:00,2024-01-01 14:01:00,Uberlândia,MG
ORD-01377,CLI-0073,Gabriela Dias,gabriela.dias75@email.com,PROD-023,Suplemento Creatina,Nutrição,4,79.90,10,shipped,2024-01-01 11:12:00,2024-01-02 11:12:00,Uberlândia,MG
ORD-01216,CLI-0004,Eduardo Souza,eduardo.souza12@email.com,PROD-032,Headband Esportivo,Acessórios,5,24.90,5,shipped,2024-01-01 11:38:00,2024-01-02 11:38:00,Florianópolis,SC
ORD-01344,CLI-0315,Sandra Lacerda,sandra.lacerda36@email.com,PROD-010,Tênis Casual Street,Calçados,2,219.90,0,delivered,2024-01-01 17:04:00,2024-01-04 17:04:00,Belo Horizonte,MG
ORD-00471,CLI-0231,Karina Pinto,karina.pinto56@email.com,PROD-019,Palmilha Ortopédica,Calçados,3,59.90,20,delivered,2024-01-01 19:46:00,2024-01-06 19:46:00,Aracaju,SE
ORD-00845,CLI-0126,Everton Rodrigues,everton.rodrigues79@email.com,PROD-035,Bicicleta Speed 21v,Esportes,4,1899.00,20,delivered,2024-01-01 21:53:00,2024-01-08 21:53:00,Feira de Santana,BA
ORD-01055,CLI-0288,Flavia Ulhoa,flavia.ulhoa14@email.com,PROD-025,Carregador Portátil,Eletrônicos,4,149.00,5,shipped,2024-01-02 12:36:00,2024-01-03 12:36:00,Vitória,ES
ORD-01343,CLI-0304,Bruno Andrade,bruno.andrade69@email.com,PROD-039,Elástico Resistência,Esportes,3,29.90,15,shipped,2024-01-02 14:13:00,2024-01-03 14:13:00,Recife,PE
ORD-00969,CLI-0317,Joao Fonseca,joao.fonseca13@email.com,PROD-031,Meia de Compressão,Vestuário,5,29.90,10,delivered,2024-01-02 17:01:00,2024-01-10 17:01:00,Palmas,TO
ORD-00612,CLI-0245,Alexia Fonseca,alexia.fonseca80@email.com,PROD-028,Shorts de Natação,Vestuário,4,79.90,0,delivered,2024-01-02 19:44:00,2024-01-12 19:44:00,Ribeirão Preto,SP
ORD-00860,CLI-0273,Odete Vasquez,odete.vasquez70@email.com,PROD-040,Tênis Corrida Fem,Calçados,3,279.90,20,delivered,2024-01-02 20:41:00,2024-01-05 20:41:00,Belo Horizonte,MG
ORD-00949,CLI-0070,Everton Lima,everton.lima50@email.com,PROD-031,Meia de Compressão,Vestuário,2,29.90,0,cancelled,2024-01-03 07:55:00,2024-01-03 12:55:00,Maceió,AL
ORD-01805,CLI-0154,Carla Henriques,carla.henriques62@email.com,PROD-003,Mochila Urbana,Acessórios,2,179.00,5,delivered,2024-01-03 14:02:00,2024-01-09 14:02:00,São Paulo,SP
ORD-00629,CLI-0256,Karina Zanetti,karina.zanetti96@email.com,PROD-040,Tênis Corrida Fem,Calçados,1,279.90,5,delivered,2024-01-03 14:12:00,2024-01-07 14:12:00,Manaus,AM
